fund_long_name,initial_investment,fund_category,management_name
Baillie Gifford China A Shares Fund Class K,10000000,China Region,Sophie Earnshaw
Baillie Gifford Global Alpha Equities Fund Class K,10000000,,Spencer Adair
Baillie Gifford Multi Asset Fund Class K,10000000,Tactical Allocation,James Squires
Baillie Gifford China Equities Fund Class K,10000000,China Region,Roderick Snell
Baillie Gifford International Growth Fund Class K,10000000,Foreign Large Growth,Thomas K. Coutts
Baillie Gifford The U.S. Equity Growth Fund Class K,10000000,Large Growth,Tom Slater
Baillie Gifford International Alpha Fund Class K,10000000,Foreign Large Growth,Angus M. Franklin
Baillie Gifford Emerging Markets Equities Fund Class K,10000000,Diversified Emerging Mkts,Ben Durrant
Baillie Gifford Developed EAFE All Cap Fund Class K,10000000,Foreign Large Growth,Gerard M. Callahan
Baillie Gifford Global Stewardship Equities Fund Class K,10000000,,Iain McCombie
Baillie Gifford US Discovery Fund Class K,10000000,Mid-Cap Growth,Douglas Brodie
Baillie Gifford International Smaller Companies Fund Class K,10000000,Foreign Small/Mid Growth,Charlie Broughton
Baillie Gifford EAFE Plus All Cap Fund Class K,10000000,Foreign Large Growth,Iain Campbell
Baillie Gifford Positive Change Equities Fund Class K,10000000,,Kate Fox
Baillie Gifford International Concentrated Growth Equities Fund Class K,10000000,Foreign Large Growth,Lawrence K. Burns
CBOE Vest S&P 500 Buffer Strategy Fund Class Y Shares,10000000,Options Trading,Howard Rubin
Invesco Greater China Fund Class R6,10000000,China Region,Mike Shiao
BNY Mellon Ultra Short Income Fund Institutional Shares,10000000,Ultrashort Bond,Edward J. Von Sauers
Eagle MLP Strategy Fund Class N Shares,10000000,Energy Limited Partnership,Steven S. Russo
Invesco Emerging Markets Select Equity Fund Class R6,10000000,Diversified Emerging Mkts,Jeff Feng
CBOE Vest S&P 500 Enhanced Growth Strategy Fund Class Y Shares,10000000,Derivative Income,Howard Rubin
Invesco Global Real Estate Fund Class C,10000000,Infrastructure,Joe Rodriguez
Calamos Growth Fund Institutional Class,10000000,Infrastructure,John Calamos
Causeway Global Value Fund Institutional Class,10000000,,Conor S. Muldoon
Invesco Charter Fund R5 Class,10000000,Options Trading,Manind Govil
Champlain Emerging Markets Fund Advisor Shares,10000000,Nontraditional Bond,Russell E. Hoss
CornerCap Small-Cap Value Fund Investor Shares,10000000,Diversified Emerging Mkts,Thomas Quinn
Columbia Small Cap Value Fund I Institutional Class,10000000,Diversified Emerging Mkts,Jeremy H. Javidi
