fund_long_name,initial_investment,fund_category,management_name
Driehaus Emerging Markets Small Cap Growth Fund,2500,Tactical Allocation,Chad Cleaver
Davis Real Estate Fund Class Y,2500,Tactical Allocation,Chandler Adams Spears
BNY Mellon Emerging Markets Securities Fund Class A,2500,Technology,Julianne D. McHugh
Virtus AllianzGI Technology Fund Institutional Class,2500,Real Estate,Michael A. Seidenberg
BNY Mellon Alternative Diversifier Strategies Fund - Class I,2500,Allocation--85%+ Equity,Caroline M. Lee-Tsao
Aquila Three Peaks Opportunity Growth Fund Class A,2500,Allocation--85%+ Equity,Sandy Rufenacht
Brookfield Global Listed Infrastructure Fund Class C,2500,Large Value,Tom Miller
BMO Mid-Cap Growth Fund Class A,2500,Large Value,Thomas P. Lettenberger
Columbia Small Cap Value Fund I Institutional 3 Class,2500,,Jeremy H. Javidi
"BNY Mellon New Jersey Municipal Bond Fund, Inc. Class A",2500,High Yield Bond,Daniel Barton
"BNY Mellon New York Tax Exempt Bond Fund, Inc.",2500,High Yield Bond,Thomas Casey
BNY Mellon Global Real Return Fund - Class C,2500,Large Value,Suzanne Hutchins
BNY Mellon Global Real Return Fund - Class I,2500,Large Value,Suzanne Hutchins
BNY Mellon Municipal Bond Fund,2500,Mid-Cap Value,Daniel Marques
BNY Mellon Sustainable U.S. Equity Fund Class I,2500,Mid-Cap Value,Jeff Munroe
Domini Impact Bond Fund Institutional Shares,2500,Mid-Cap Value,Campe Goodman
BNY Mellon Global Fixed Income Fund - Class Y,2500,Real Estate,David Leduc
DoubleLine Shiller Enhanced CAPE Class N,2500,Small Value,Jeffrey J. Sherman
Domini Impact Equity Fund A Shares,2500,Small Value,Kathleen Domini Morgan
BNY Mellon Select Managers Small Cap Growth Fund Class C,2500,Small Value,Valerie B. Klaiman
Delaware Small Cap Growth Fund Institutional Class,2500,Muni National Interm,W. Alexander L. Ely
BNY Mellon Select Managers Small Cap Growth Fund Class I,2500,Emerging Markets Bond,Valerie B. Klaiman
Diamond Hill Corporate Credit Fund Investor Share,2500,High Yield Bond,Bill Zox
BNY Mellon Ultra Short Income Fund Institutional Shares,2500,High Yield Bond,Edward J. Von Sauers
Eaton Vance Tax-Managed Global Dividend Income Fund Class A,2500,Small Value,John H. Croft
Eaton Vance Emerging Markets Debt Opportunities Fund Class A,2500,Allocation--50% to 70% Equity,John R. Baur
Parametric Emerging Markets Fund Investor Class,2500,Multisector Bond,Thomas Seto
First Eagle Overseas Fund Class R3,2500,Intermediate Core-Plus Bond,Matthew McLennan
MFS Limited Maturity Fund Class 529B,2500,Foreign Large Blend,Alexander M. Mackey
Eaton Vance Greater India Fund Class C,2500,Foreign Large Value,Hiren Dasani
AXS Chesapeake Strategy Fund Class A,2500,Allocation--15% to 30% Equity,Mark Lacuesta
Wells Fargo Fundamental Small Cap Growth Fund - Class C,2500,Large Blend,Michael T. Smith
Parametric TABS 5-to-15 Year Laddered Municipal Bond Fund Class I,2500,Short-Term Bond,James H. Evans
Eaton Vance Large-Cap Value Fund Class I,2500,Short-Term Bond,Edward J. Perkin
Eaton Vance Massachusetts Municipal Income Fund Class I,2500,Short-Term Bond,Craig Robert Brandon
Wells Fargo Premier Large Company Growth Fund - Class R4,2500,Small Growth,Robert C. Gruendyke
Wells Fargo Premier Large Company Growth Fund - Class Inst,2500,Large Growth,Robert C. Gruendyke
Wells Fargo Diversified Income Builder Fund - Class Inst,2500,India Equity,Kandarp R. Acharya
Wells Fargo Pennsylvania Tax-Free Fund - Class C,2500,Nontraditional Bond,Robert J. Miller
Wells Fargo Pennsylvania Tax-Free Fund - Class Inst,2500,Nontraditional Bond,Robert J. Miller
Ashmore Emerging Markets Local Currency Bond Fund Class A,2500,India Equity,Ricardo Xavier
Elfun Tax-Exempt Income Fund,2500,India Equity,Stella DeLucia
Columbia Select Large Cap Growth Fund Class A,2500,Energy Limited Partnership,Thomas M. Galvin
Gabelli Enterprise Mergers and Acquisitions Fund Class A,2500,Energy Limited Partnership,Mario J. Gabelli
PGIM Emerging Markets Debt Local Currency Fund-Class Z,2500,Large Growth,Cathy L. Hepworth
Ashmore Emerging Markets Equity Fund Class A,2500,Large Growth,Dhiren Shah
Ashmore Emerging Markets Equity Fund Class C,2500,Large Growth,Dhiren Shah
Invesco Emerging Markets Innovators Fund Class A,2500,Multisector Bond,Justin M. Leverenz
MFS Massachusetts Investors Growth Stock Fund Class 529C,2500,Multisector Bond,Jeffrey C. Constantino
Invesco Emerging Markets Innovators Fund Class R5,2500,Multisector Bond,Justin M. Leverenz
UBS Emerging Markets Equity Opportunity Fund Class P2,2500,Nontraditional Bond,Geoffrey E. Wong
Ashmore Emerging Markets Active Equity Fund Class A,2500,Nontraditional Bond,Fernando Assad
Ashmore Emerging Markets Active Equity Fund Class C,2500,Nontraditional Bond,Fernando Assad
Transamerica Emerging Markets Debt Fund Class I,2500,Short Government,Scott J. Moses
Eaton Vance Balanced Fund Class R,2500,Options Trading,Charles B. Gaffney
Gabelli ESG Fund Class C,2500,Foreign Large Blend,Christopher V. Marangi
Wells Fargo International Bond Fund - Class Inst,2500,Foreign Large Blend,Michael Malcom Lee
Fidelity Advisor Managed Retirement 2020 Fund Class A,2500,Multistrategy,Andrew F. Dierdorf
Franklin K2 Alternative Strategies Fund Class R6,2500,Allocation--50% to 70% Equity,Robert Christian
Fidelity Advisor Freedom 2035 Fund Class A,2500,Allocation--50% to 70% Equity,Andrew F. Dierdorf
Fidelity Advisor Equity Value Fund Class C,2500,Allocation--50% to 70% Equity,Sean Gavin
Fidelity Advisor Freedom Blend 2065 Fund Class I,2500,Large Growth,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2065 Fund Class Z,2500,Multistrategy,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2065 Fund Class Z6,2500,Mid-Cap Blend,Andrew F. Dierdorf
American Funds 2065 Target Date Retirement Fund Class F-1,2500,Global Real Estate,Wesley K.-S. Phoa
Fidelity Advisor Freedom Blend 2065 Fund Class A,2500,Large Growth,Andrew F. Dierdorf
Nuveen Arizona Municipal Bond Fund Class C2,2500,Intermediate Core-Plus Bond,Michael S. Hamilton
Franklin Arizona Tax Free Income Fund Class C,2500,Large Blend,Michael J. Conn
Franklin Arizona Tax Free Income Fund Class R6,2500,Mid-Cap Growth,Michael J. Conn
Fidelity Advisor Multi-Asset Income Fund Class M,2500,Intermediate Core-Plus Bond,Adam E. Kramer
American Funds American Balanced Fund Class 529-F-2,2500,World Allocation,Paul R. Benjamin
Fidelity Balanced Fund Class K,2500,Technology,Jody M. Simes
Fidelity Balanced Fund,2500,World Allocation,Jody M. Simes
First Foundation Total Return Fund Class A,2500,Large Blend,Jim Garrison
American Funds Moderate Growth and Income Portfolio Class 529-F-2,2500,Health,Michelle J. Black
American Funds Corporate Bond Fund Class 529-F-3,2500,World Allocation,Scott Sykes
Fidelity Blue Chip Growth K6 Fund,2500,Technology,Sonu Kalra
American Funds 2020 Target Date Retirement Fund Class F-2,2500,High Yield Bond,Wesley K.-S. Phoa
Fidelity Select Biotechnology Portfolio,2500,Technology,Rajiv Kaul
American Funds 2050 Target Date Retirement Fund Class F-2,2500,Large Growth,Wesley K.-S. Phoa
Fidelity Balanced K6 Fund,2500,Allocation--50% to 70% Equity,Douglas E. Simmons
American Funds 2060 Target Date Retirement Fund Class F-2,2500,Mid-Cap Growth,Michelle J. Black
Fidelity Advisor Total Bond Fund Class Z,2500,Intermediate Core-Plus Bond,Ford O'Neil
Franklin Managed Income Fund Class A,2500,Small Growth,Edward Perks
Fidelity Series Stock Selector Large Cap Value Fund,2500,World Large-Stock Blend,Matthew Friedman
Fidelity Freedom Index 2005 Fund Premier Class,2500,Small Growth,Andrew F. Dierdorf
Fidelity SAI Long-Term Treasury Bond Index Fund,2500,,Brandon Bettencourt
Friess Brandywine Blue Fund Institutional Class,2500,Foreign Large Blend,Scott W. Gates
Fidelity Advisor Global Equity Income Fund Class A,2500,Pacific/Asia ex-Japan Stk,Ramona Persaud
Franklin Managed Income Fund Class C,2500,Pacific/Asia ex-Japan Stk,Edward Perks
Fidelity Select Communication Services Portfolio,2500,Pacific/Asia ex-Japan Stk,Matthew Drukker
Fidelity Advisor Short-Term Bond Fund Class I,2500,Pacific/Asia ex-Japan Stk,Robert Galusza
Templeton Global Bond Fund Class R6,2500,Pacific/Asia ex-Japan Stk,Michael Hasenstab
Fidelity Advisor Short-Term Bond Fund Class M,2500,Global Real Estate,Robert Galusza
American Funds American Balanced Fund Class 529-F-3,2500,Large Growth,Paul R. Benjamin
Fidelity Disruptive Automation Fund,2500,Short-Term Bond,Christopher T. Lee
First Eagle Global Income Builder Fund Class R3,2500,Multisector Bond,Sean Slein
Friess Brandywine Fund Institutional Class,2500,Technology,Scott W. Gates
American Funds Strategic Bond Fund Class 529-F-3,2500,Technology,Ritchie A. Tuazon
Fidelity Flex Short-Term Bond Fund,2500,Small Growth,Robert Galusza
Franklin Biotechnology Discovery Fund Class C,2500,World Allocation,Evan McCulloch
Fidelity Advisor Biotechnology Fund I Class,2500,Small Growth,Eirene Kontopoulos
Fidelity Disruptive Automation Fund Loyalty Class 2,2500,,Christopher T. Lee
Franklin California Tax Free Income Fund Advisor Class,2500,World Allocation,Michael J. Conn
Franklin Corefolio Allocation Fund Advisor Class,2500,World Allocation,Wylie Tollette
Fidelity Advisor Corporate Bond Fund Class I,2500,World Allocation,David Prothro
Franklin California Intermediate-Term Tax-Free Income Fund Class R6,2500,Commodities Broad Basket,Michael J. Conn
Franklin International Core Equity (IU) Fund Advisor,2500,Mid-Cap Blend,Todd Brighton
Fidelity Advisor Total Bond Fund Class C,2500,Mid-Cap Blend,Ford O'Neil
American Funds 2030 Target Date Retirement Fund Class F-3,2500,Mid-Cap Blend,Wesley K.-S. Phoa
Frost Credit Fund Investor Class,2500,Mid-Cap Blend,Jeffery Elswick
Fidelity Advisor Freedom 2010 Fund Class M,2500,Commodities Broad Basket,Andrew F. Dierdorf
Fidelity Advisor Freedom 2005 Fund Class C,2500,Commodities Broad Basket,Andrew F. Dierdorf
Franklin Growth Fund Advisor Class,2500,Small Value,Robert Rendler
American Funds Investment Company of America Class 529-F-2,2500,Options Trading,Martin Romo
Fidelity Advisor Freedom 2010 Fund Class I,2500,Allocation--50% to 70% Equity,Andrew F. Dierdorf
Fidelity Advisor Small Cap Growth Fund Class I,2500,Allocation--50% to 70% Equity,Patrick Venanzi
FIERA CAPITAL INTERNATIONAL EQUITY FUND Investor Class,2500,Large Growth,Nadim Rizk
FIERA CAPITAL INTERNATIONAL EQUITY FUND Class Z,2500,Intermediate Core-Plus Bond,Nadim Rizk
American Funds 2055 Target Date Retirement Fund Class F-3,2500,,Wesley K.-S. Phoa
Nuveen Kansas Municipal Bond Fund Class C2,2500,High Yield Bond,Steven M. Hlavin
American Funds 2060 Target Date Retirement Fund Class F-3,2500,High Yield Bond,Michelle J. Black
Fidelity Advisor Industrials Fund Class A,2500,Foreign Large Blend,Janet Glazer
Fidelity Advisor Consumer Discretionary Fund Class A,2500,Mid-Cap Growth,Katherine Shaw
Nuveen North Carolina Municipal Bond Fund Class C2,2500,Mid-Cap Growth,Daniel J. Close
Fidelity Advisor Consumer Discretionary Fund Class I,2500,Large Blend,Katherine Shaw
Nuveen North Carolina Municipal Bond Fund Class I,2500,Large Blend,Daniel J. Close
Fidelity Series Canada Fund,2500,Mid-Cap Value,Ryan Oldham
Fidelity Conservative Income Bond Institutional Class,2500,Mid-Cap Value,Robert Galusza
Nuveen Colorado Municipal Bond Fund Class C2,2500,Small Value,Christopher L. Drahn
Nuveen Colorado Municipal Bond Fund Class A,2500,Small Value,Christopher L. Drahn
Franklin Convertible Securities Fund Advisor Class,2500,,Alan E. Muschott
Strategic Advisers Fidelity U.S. Total Stock Fund,2500,,Barry J. Golden
Fidelity Advisor Small Cap Growth Fund Class M,2500,Options Trading,Patrick Venanzi
Fidelity Advisor Freedom 2035 Fund Class C,2500,,Andrew F. Dierdorf
Franklin Total Return Fund Class C,2500,Options Trading,Patrick Klein
Nuveen Connecticut Municipal Bond Fund Class I,2500,,Michael S. Hamilton
Fidelity Flex Small Cap Fund,2500,,Derek Janssen
Fidelity Convertible Securities Fund,2500,,Adam Kramer
Fidelity Advisor Freedom 2020 Fund Class C,2500,Large Blend,Andrew F. Dierdorf
Fidelity Advisor Consumer Staples Fund Class C,2500,Large Blend,Ben Shuleva
Fidelity Disciplined Equity Fund,2500,Global Real Estate,Kwasi Dadzie-Yeboah
"Federated Hermes Equity Income Fund, Inc. Class R Shares",2500,Global Real Estate,Stephen K. Gutch
Templeton Developing Markets Trust Class R6,2500,Global Real Estate,Chetan Sehgal
Fidelity Freedom Index 2055 Fund Investor Class,2500,Global Real Estate,Andrew F. Dierdorf
Fidelity Independence Fund,2500,,Sammy Simnegar
Fidelity Advisor Freedom 2065 Fund Class Z,2500,,Andrew F. Dierdorf
Fidelity Advisor Communications Equipment Fund Class C,2500,Intermediate Core-Plus Bond,Caroline Tall
Fidelity Stock Selector All Cap Fund,2500,Health,Geoffrey D. Stein
Fidelity Growth Discovery Fund,2500,Health,Jason Weiner
Fidelity Advisor Freedom 2020 Fund Class M,2500,Health,Andrew F. Dierdorf
Fidelity Advisor Consumer Staples Fund Class M,2500,Multialternative,Ben Shuleva
Fidelity Advisor Diversified Stock Fund Class I,2500,Multialternative,Daniel E. Kelley
Fidelity Advisor Capital Development Fund Class A,2500,Large Growth,Matthew W. Fruhan
Franklin DynaTech Fund Advisor Class,2500,World Bond,Rupert H. Johnson
Fidelity Advisor Emerging Asia Fund Class A,2500,World Bond,Xiaoting Zhao
First Eagle Fund of America Class Y,2500,World Bond,Manish Gupta
First Eagle Fund of America Class C,2500,World Bond,Manish Gupta
First Eagle Global Income Builder Fund Class A,2500,World Allocation,Sean Slein
Fidelity Advisor Environmental Bond Fund Class A,2500,World Allocation,John P. Houston
Fidelity Advisor Environmental Bond Fund Class M,2500,World Allocation,John P. Houston
Fidelity Advisor Environmental Bond Fund Class I,2500,,John P. Houston
Fidelity Advisor Environmental Bond Fund Class Z,2500,,John P. Houston
First Eagle Global Income Builder Fund Class I,2500,,Sean Slein
First Eagle Global Income Builder Fund Class R6,2500,,Sean Slein
Fidelity Advisor Emerging Markets Discovery Fund Class C,2500,,Priyanshu Bakshi
Fidelity Advisor Emerging Markets Discovery Fund Class M,2500,Large Blend,Priyanshu Bakshi
First Eagle Gold Fund Class C,2500,Small Growth,Matthew McLennan
First Eagle Global Fund Class R6,2500,Small Growth,Matthew McLennan
First Eagle High Income Fund Class A,2500,Small Growth,Edward B. Meigs
First Eagle High Income Fund Class I,2500,Small Growth,Edward B. Meigs
Fidelity Advisor Equity Income Fund Class A,2500,World Large-Stock Blend,John Sheehy
Franklin Equity Income Fund Advisor Class,2500,Mid-Cap Growth,Alan Muschott
Fidelity Advisor Semiconductors Fund Class A,2500,Mid-Cap Growth,Adam Benjamin
First Eagle High Income Fund Class R5,2500,World Bond,Edward B. Meigs
First Foundation Fixed Income Class Y,2500,High Yield Bond,Calvin Jones
American Funds College 2027 Fund Class 529-F-3,2500,High Yield Bond,Wesley K.-S. Phoa
Fidelity Advisor Global Commodity Stock Fund Class A,2500,Foreign Large Blend,Jody Simes
Fidelity Freedom Index Income Fund Institutional Premium Class,2500,Foreign Large Blend,Andrew F. Dierdorf
Franklin Fixed Income Portfolio Fund,2500,Foreign Large Growth,Wylie Tollette
Fidelity Advisor Floating Rate High Income Fund Class I,2500,Small Value,Eric Mollenhauer
Federated Hermes Government Income Securities Class C Shares,2500,Small Growth,Liam C. O'Connell
Strategic Advisers Fidelity Emerging Markets Fund,2500,Mid-Cap Value,Wilfred Chilangwa
Fidelity Advisor High Income Fund Class M,2500,Foreign Large Growth,Michael Weaver
Emerald Growth Fund Institutional Class,2500,Foreign Large Growth,Kenneth G. Mertz
Federated Hermes MDT Mid Cap Growth Fund Class C Shares,2500,Foreign Large Growth,Damien Zhang
Fidelity Freedom 2030 Fund Class K6,2500,World Allocation,Andrew F. Dierdorf
Fidelity Advisor High Income Fund Class I,2500,World Allocation,Michael Weaver
Franklin Growth Allocation Fund Class R,2500,World Allocation,Wylie Tollette
Franklin Growth Allocation Fund Advisor Class,2500,Foreign Large Growth,Wylie Tollette
Federated Hermes Government Ultrashort Fund Class A,2500,World Allocation,Susan R. Hill
Fidelity Advisor Freedom Blend 2005 Fund Class I,2500,Multisector Bond,Andrew F. Dierdorf
Fidelity Freedom Blend 2030 Fund Class K,2500,Multisector Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2005 Fund Class M,2500,Multisector Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend Income Fund Class I,2500,Multisector Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend Income Fund Class C,2500,Multisector Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend Income Fund Class A,2500,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Freedom Blend 2060 Fund,2500,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2045 Fund Class Z,2500,Large Blend,Andrew F. Dierdorf
Federated Hermes High Income Bond Fund Class R6 Shares,2500,Health,Mark E. Durbiano
Fidelity Freedom Blend Income Fund,2500,Global Real Estate,Andrew F. Dierdorf
Fidelity Advisor Health Care Fund Class C,2500,Technology,Edward Yoon
Fidelity Freedom Blend 2060 Fund Class K6,2500,High Yield Bond,Andrew F. Dierdorf
Fidelity Freedom Blend 2020 Fund Class K,2500,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Advisor Health Care Fund Class I,2500,Foreign Large Blend,Edward Yoon
Federated Hermes Conservative Microshort Fund Institutional Shares,2500,Small Value,Nicholas S. Tripodes
Fidelity Advisor Freedom Blend 2060 Fund Class Z6,2500,Large Growth,Andrew F. Dierdorf
Fidelity Advisor Real Estate Fund Class C,2500,World Allocation,Samuel J. Wald
Fidelity Freedom Blend 2015 Fund Class K,2500,World Allocation,Andrew F. Dierdorf
Delaware Hedged U.S. Equity Opportunities Fund Class A,2500,Short-Term Bond,Gregg R. Thomas
Fidelity Advisor Freedom 2055 Fund Class M,2500,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2050 Fund Class Z6,2500,Diversified Emerging Mkts,Andrew F. Dierdorf
Fidelity Freedom Blend 2035 Fund Class K6,2500,Diversified Emerging Mkts,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2060 Fund Class Z,2500,Diversified Emerging Mkts,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2035 Fund Class A,2500,Diversified Emerging Mkts,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2005 Fund Class Z6,2500,Diversified Emerging Mkts,Andrew F. Dierdorf
Fidelity Advisor Europe Fund Class M,2500,World Large-Stock Blend,Andrew Sergeant
Fidelity Advisor China Region Fund Class A,2500,World Large-Stock Blend,Stephen Lieu
Fidelity Series Emerging Markets Fund,2500,World Large-Stock Blend,John Chow
Fidelity Advisor China Region Fund Class I,2500,World Large-Stock Blend,Stephen Lieu
Fidelity Advisor China Region Fund Class M,2500,World Large-Stock Blend,Stephen Lieu
Federated Hermes Municipal High Yield Advantage Fund Class F Shares,2500,Large Growth,Lee R. Cunningham
Federated Hermes Opportunistic High Yield Bond Fund Institutional Shares,2500,Large Growth,Mark E. Durbiano
Fidelity Advisor Municipal Income Fund Class A,2500,Large Growth,Elizah McLaughlin
Federated Hermes U.S. SMID Fund Institutional Shares,2500,Large Growth,Mark Sherlock
John Hancock Financial Industries Fund Class A,2500,Foreign Large Growth,Susan A. Curry
Fidelity Advisor International Capital Appreciation Fund Class Z,2500,Large Blend,Sammy Simnegar
"Fidelity Advisor Emerging Europe, Middle East, Africa (EMEA) Fund Class I",2500,Large Blend,Adam Kutas
Fidelity International Enhanced Index Fund,2500,Large Blend,Louis Bottari
American Funds Retirement Income Portfolio - Enhanced Class F-3,2500,Large Blend,Michelle J. Black
Fidelity Advisor Total International Equity Fund Class Z,2500,Large Blend,Alexander Zavratsky
American Funds The Income Fund of America Class F-3,2500,Large Blend,Dina N. Perry
Delaware International Fund Institutional Class,2500,Small Growth,Klaus Saustrup Petersen
Fidelity Advisor New York Municipal Income Fund Class Z,2500,Small Value,Elizah McLaughlin
Fidelity Advisor Financial Services Fund Class Z,2500,Short-Term Bond,Matt Reed
Fidelity Advisor Health Care Fund Class Z,2500,Short-Term Bond,Edward Yoon
Fidelity Freedom Index Income Fund Investor Class,2500,Short-Term Bond,Andrew F. Dierdorf
Federated Hermes Intermediate Municipal Fund Institutional Shares,2500,Mid-Cap Growth,J. Scott Albrecht
Fidelity Advisor Worldwide Fund Class Z,2500,World Allocation,William Kennedy
Fidelity Advisor Emerging Asia Fund Class Z,2500,World Allocation,Xiaoting Zhao
Fidelity Advisor Floating Rate High Income Fund Class Z,2500,World Allocation,Eric Mollenhauer
Fidelity Managed Retirement 2015 Fund,2500,Mid-Cap Blend,Andrew F. Dierdorf
Fidelity Advisor International Real Estate Fund Class M,2500,Multisector Bond,Guillermo de las Casas
Fidelity Simplicity RMD 2015 Fund,2500,Mid-Cap Value,Andrew F. Dierdorf
Franklin International Small Cap Fund Class R,2500,Mid-Cap Value,Paul D. Ehrlichman
Franklin Equity Income Fund Class A,2500,Mid-Cap Value,Alan Muschott
Fidelity Advisor Freedom Blend 2010 Fund Class M,2500,Nontraditional Bond,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2030 Fund Class I,2500,Nontraditional Bond,Andrew F. Dierdorf
Fidelity Freedom Index 2005 Fund Investor Class,2500,Nontraditional Bond,Andrew F. Dierdorf
Nuveen Minnesota Municipal Bond Fund Class A,2500,Nontraditional Bond,Christopher L. Drahn
Fidelity Advisor Japan Fund Class C,2500,Nontraditional Bond,Kirk Neureiter
Fidelity Advisor Japan Fund Class I,2500,Nontraditional Bond,Kirk Neureiter
Fidelity Advisor Municipal Income Fund Class C,2500,World Allocation,Elizah McLaughlin
Franklin Federal Intermediate-Term Tax-Free Income Fund Class A1,2500,Foreign Large Growth,Daniel Patrick Workman
Federated Hermes Kaufmann Small Cap Fund Class R Shares,2500,Foreign Large Growth,Hans M. Utsch
Franklin New York Intermediate Tax-Free Income Fund Class R6,2500,Mid-Cap Value,Michael J. Conn
Franklin Federal Intermediate-Term Tax-Free Income Fund Class A,2500,Mid-Cap Value,Daniel Patrick Workman
Fidelity Managed Retirement 2015 Fund Class K,2500,Small Growth,Andrew F. Dierdorf
Fidelity Managed Retirement 2020 Fund Class K,2500,Small Growth,Andrew F. Dierdorf
Franklin Strategic Income Fund Class R,2500,Small Growth,William Chong
Franklin Minnesota Tax-Free Income Fund Class R6,2500,,Michael J. Conn
Franklin Federal Tax Free Income Fund Class A1,2500,,James Conn
Nuveen Kentucky Municipal Bond Fund Class I,2500,Infrastructure,Daniel J. Close
Franklin LifeSmart 2030 Retirement Target Fund Class R6,2500,Large Value,Wylie Tollette
First Sentier Global Listed Infrastructure Fund Class I,2500,World Small/Mid Stock,Peter Meany
Fidelity Freedom Index 2025 Fund Premier Class,2500,World Small/Mid Stock,Andrew F. Dierdorf
Meeder Muirfield Fund Institutional Class,2500,High Yield Bond,Yuntaek Pae
JPMorgan Mid Cap Value Fund Class L,2500,Allocation--30% to 50% Equity,Jonathan K. L. Simon
Nuveen North Carolina Municipal Bond Fund Class A,2500,Allocation--30% to 50% Equity,Daniel J. Close
Donoghue Forlines Risk Managed Income Fund Class C,2500,Miscellaneous Sector,Nicholas A. Lobley
Franklin LifeSmart 2040 Retirement Target Fund Class C,2500,Miscellaneous Sector,Wylie Tollette
Donoghue Forlines Risk Managed Income Fund Class I,2500,Global Real Estate,Nicholas A. Lobley
Fidelity Water Sustainability Fund,2500,Global Real Estate,Janet Glazer
Franklin LifeSmart 2035 Retirement Target Fund Advisor Class,2500,Large Growth,Wylie Tollette
Franklin LifeSmart 2045 Retirement Target Fund Advisor Class,2500,Large Growth,Wylie Tollette
Franklin LifeSmart 2020 Retirement Target Fund Advisor Class,2500,Multisector Bond,Wylie Tollette
Franklin LifeSmart 2020 Retirement Target Fund Class C,2500,Multisector Bond,Wylie Tollette
Franklin LifeSmart 2030 Retirement Target Fund Class A,2500,Multisector Bond,Wylie Tollette
Franklin LifeSmart 2030 Retirement Target Fund Class C,2500,Mid-Cap Value,Wylie Tollette
Franklin LifeSmart 2020 Retirement Target Fund Class R,2500,Mid-Cap Growth,Wylie Tollette
Franklin LifeSmart 2030 Retirement Target Fund Class R,2500,Mid-Cap Growth,Wylie Tollette
Nuveen Large Cap Select Fund Class I,2500,Mid-Cap Growth,David Chalupnik
Franklin LifeSmart 2050 Retirement Target Fund Class C,2500,Mid-Cap Growth,Wylie Tollette
Franklin LifeSmart 2050 Retirement Target Fund Class R,2500,Mid-Cap Growth,Wylie Tollette
Franklin LifeSmart 2055 Retirement Target Fund Class R6,2500,Health,Wylie Tollette
Nuveen Limited Term Municipal Bond Fund Class C2,2500,Health,Paul L. Brennan
Nuveen Limited Term Municipal Bond Fund Class A,2500,Small Growth,Paul L. Brennan
Franklin LifeSmart 2055 Retirement Target Fund Advisor Class,2500,Small Value,Wylie Tollette
Franklin Louisiana Tax Free Income Fund Advisor Class,2500,Mid-Cap Blend,Christopher Sperry
Fidelity Advisor Stock Selector Large Cap Value Fund Class A,2500,Small Growth,Matthew Friedman
Fidelity Advisor Stock Selector Large Cap Value Fund Class C,2500,Small Growth,Matthew Friedman
Fidelity Leveraged Company Stock Fund,2500,Technology,Brian Chang
Fidelity Flex Small Cap Index Fund,2500,World Allocation,Deane Gyllenhaal
Fidelity Magellan Fund,2500,China Region,Sammy Simnegar
Franklin Massachusetts Tax-Free Income Fund Advisor Class,2500,Short-Term Bond,Michael J. Conn
Franklin Massachusetts Tax-Free Income Fund Class C,2500,Short-Term Bond,Michael J. Conn
Franklin Massachusetts Tax-Free Income Fund Class A,2500,Short-Term Bond,Michael J. Conn
Federated Hermes Mortgage Strategy Portfolio,2500,Foreign Large Blend,Liam C. O'Connell
American Century One Choice Blend+ 2015 Portfolio Investor Class,2500,Nontraditional Bond,Scott A. Wilson
American Beacon The London Company Income Equity Fund Class R6,2500,Short-Term Bond,Jonathan T. Moody
AB Discovery Value Fund Class C,2500,Tactical Allocation,James MacGregor
American Century High Yield Municipal Fund Investor Class,2500,Short-Term Bond,Alan M. Kruss
AB Conservative Wealth Strategy Class C,2500,Large Growth,Daniel J. Loewy
AB Large Cap Growth Fund Class R,2500,Small Growth,John Fogarty
AB Total Return Bond Portfolio Class Z,2500,Short-Term Bond,Shawn E. Keegan
ABR 50/50 Volatility Fund Institutional Shares,2500,Foreign Large Blend,Taylor Lukof
American Century Government Bond Fund R5 Class,2500,Systematic Trend,Peter Van Gelderen
American Century Government Bond Fund R Class,2500,Systematic Trend,Peter Van Gelderen
AB All Market Total Return Portfolio Class C,2500,Intermediate Core-Plus Bond,Daniel J. Loewy
American Century Core Plus Fund Class R,2500,Diversified Emerging Mkts,Robert Gahagan
American Century Core Plus Fund G Class,2500,Large Blend,Jeffrey Houston
Invesco Corporate Bond Fund Class R,2500,Large Blend,Niklas E. Nordenfelt
Invesco Equity and Income Fund Class A,2500,Large Growth,Brian Jurkash
Invesco Equity and Income Fund R5 Class,2500,Large Growth,Brian Jurkash
American Century International Value Fund Investor Class,2500,Diversified Emerging Mkts,Yulin Long
American Century Investments Focused Dynamic Growth Fund R6 Class,2500,Emerging Markets Bond,Michael Li
American Century NT Focused Large Cap Value Fund G Class,2500,Nontraditional Bond,Kevin N. Toney
American Century NT International Growth Fund G Class,2500,Long-Short Equity,Jim Zhao
American Century NT Growth Fund G Class,2500,Long-Short Equity,Gregory Woodhams
